ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID	SPOT_ID.1
TC1500008046.hg.1	4.50e-08	1.74e-12	43.3257806	17.190471	4.16959378	Multiple_Complex	Multiple_Complex
TC1200012792.hg.1	4.50e-08	4.32e-12	-39.4513215	16.688577	-5.08641446	Multiple_Complex	Multiple_Complex
TC1000006891.hg.1	4.50e-08	4.96e-12	-38.8864539	16.607224	-5.32288397	Multiple_Complex	Multiple_Complex
TC0600007158.hg.1	6.87e-08	1.23e-11	35.4241476	16.055153	3.15644715	Multiple_Complex	Multiple_Complex
23067850	6.87e-08	1.26e-11	-35.3129048	16.035755	-2.81733841		
TC0X00010515.hg.1	4.63e-07	1.02e-10	28.4534675	14.588037	4.21261201	Coding	Coding
TC1700012439.hg.1	7.54e-07	1.94e-10	26.6191221	14.098148	4.80205625	Multiple_Complex	Multiple_Complex
TC1200012634.hg.1	1.04e-06	3.10e-10	-25.3554793	13.728938	-4.52079272	Multiple_Complex	Multiple_Complex
TC1000007132.hg.1	1.04e-06	3.61e-10	24.9631914	13.608577	2.77499846	Multiple_Complex	Multiple_Complex
TC0500009274.hg.1	1.04e-06	3.82e-10	24.8137106	13.561964	3.05914337	Multiple_Complex	Multiple_Complex
TC1200012753.hg.1	1.18e-06	4.78e-10	24.2394969	13.378946	3.54188669	Coding	Coding
TC1300007870.hg.1	1.27e-06	5.59e-10	-23.8492227	13.250861	-2.79210015	Multiple_Complex	Multiple_Complex
TC0400008007.hg.1	1.43e-06	6.83e-10	-23.3573557	13.085011	-1.95015412	Multiple_Complex	Multiple_Complex
TC0400007857.hg.1	2.51e-06	1.29e-09	21.8544022	12.545615	3.07844739	Multiple_Complex	Multiple_Complex
TC1700010625.hg.1	2.81e-06	1.55e-09	-21.4453608	12.389721	-2.06350232	Multiple_Complex	Multiple_Complex
TC0X00009057.hg.1	3.57e-06	2.10e-09	-20.7716948	12.123857	-3.04201649	Multiple_Complex	Multiple_Complex
TC1900009639.hg.1	3.66e-06	2.29e-09	20.589817	12.050061	1.90689175	Multiple_Complex	Multiple_Complex
TC0200006831.hg.1	3.75e-06	2.60e-09	20.3193006	11.938662	1.83602403	Multiple_Complex	Multiple_Complex
TC0300013879.hg.1	3.75e-06	2.74e-09	-20.2073577	11.89198	-3.47756248	Multiple_Complex	Multiple_Complex
TC1000008447.hg.1	3.75e-06	2.96e-09	-20.0389745	11.821108	-1.76079627	Multiple_Complex	Multiple_Complex
TC0700010965.hg.1	3.75e-06	3.21e-09	-19.8731365	11.750531	-5.5249129	Multiple_Complex	Multiple_Complex
TC0100007638.hg.1	3.75e-06	3.36e-09	-19.7789417	11.710095	-2.33081076	Multiple_Complex	Multiple_Complex
TC1100008050.hg.1	3.75e-06	3.37e-09	-19.7712072	11.706763	-1.97513589	Coding	Coding
TC0200008930.hg.1	3.75e-06	3.42e-09	-19.7426869	11.694464	-1.75521429	Multiple_Complex	Multiple_Complex
TC1000007199.hg.1	3.75e-06	3.47e-09	-19.7124401	11.681394	-2.64242108	Multiple_Complex	Multiple_Complex
TC1100010089.hg.1	3.75e-06	3.59e-09	19.6416567	11.650704	1.66916483	Multiple_Complex	Multiple_Complex
TC1000011400.hg.1	3.81e-06	3.83e-09	-19.5094265	11.592982	-4.46902596	Multiple_Complex	Multiple_Complex
TC0600011957.hg.1	3.81e-06	3.92e-09	19.4590815	11.57087	4.91290271	Multiple_Complex	Multiple_Complex
TC2100008562.hg.1	3.96e-06	4.22e-09	-19.3085241	11.504296	-2.38560195	Multiple_Complex	Multiple_Complex
TC0900009978.hg.1	5.16e-06	5.98e-09	-18.6161061	11.189215	-3.08282422	Multiple_Complex	Multiple_Complex
TC2200009272.hg.1	5.16e-06	6.06e-09	-18.5906563	11.177348	-1.99106713	Coding	Coding
TC1100007507.hg.1	5.16e-06	6.07e-09	-18.5877801	11.176006	-1.95699766	Multiple_Complex	Multiple_Complex
TC0600013010.hg.1	5.18e-06	6.32e-09	18.506969	11.138179	2.03396041	Multiple_Complex	Multiple_Complex
TC0600008486.hg.1	5.18e-06	6.48e-09	-18.4600712	11.11613	-1.89187301	Multiple_Complex	Multiple_Complex
TC1300008609.hg.1	5.20e-06	7.02e-09	-18.3054497	11.042927	-3.69796232	Multiple_Complex	Multiple_Complex
TC1900008143.hg.1	5.20e-06	7.53e-09	-18.1697634	10.97804	-1.90150387	Multiple_Complex	Multiple_Complex
TC0500012519.hg.1	5.20e-06	7.57e-09	-18.1614769	10.974057	-4.98185936	Multiple_Complex	Multiple_Complex
TC0800008416.hg.1	5.20e-06	7.60e-09	18.1534362	10.97019	2.34562892	Multiple_Complex	Multiple_Complex
TC0200016115.hg.1	5.20e-06	7.73e-09	-18.1196126	10.953902	-3.31210734	Multiple_Complex	Multiple_Complex
TC2000009522.hg.1	5.20e-06	7.77e-09	18.1111998	10.949844	2.36476031	Multiple_Complex	Multiple_Complex
TC1700011558.hg.1	5.20e-06	7.84e-09	-18.0945845	10.941824	-2.97691326	Multiple_Complex	Multiple_Complex
TC1700012431.hg.1	5.28e-06	8.16e-09	-18.0167679	10.904137	-3.24483334	Multiple_Complex	Multiple_Complex
TC0100011022.hg.1	5.75e-06	9.09e-09	17.8147175	10.805323	2.30854258	Multiple_Complex	Multiple_Complex
TC0100017084.hg.1	5.81e-06	9.40e-09	-17.7510784	10.773908	-2.32801315	Multiple_Complex	Multiple_Complex
TC0400008628.hg.1	6.10e-06	1.01e-08	-17.6167794	10.707151	-2.87503833	Multiple_Complex	Multiple_Complex
